1,water,L,1
2,olive,units,0.0746
3,flour,g,0.0026
4,manteca,g,0.0040
5,salt,g,0.0003
6,suggar,g,0.0009
7,eggs,units,0.1437
8,annatto powder,g,0.0045
9,vegetable oil,L,2.6
10,beef,g,0.0057
11,dried oregano,g,0.0022
12,potato,units,0.1149
13,pepper,g,0.0374
14,gelatin powder,g,0.0404
15,frozen peas,g,0.0101
16,garlic,garlic clove,0.0284
17,morron,units,0.4310
18,yellow pepper,g,0.0079
19,beef broth,L,2
20,onion,units,0.3352
21,ground cumin,g,0.0273
22,chicken,g,0.0019
23,pork,g,0.0045
24,corn cloves,g,0.0008
25,bake,units,0.0431
26,raisin,g,0.0084
27,quail egg,units,0.0125
28,baker powder,g,0.0056
29,cheese,kg,4.0000
